Strategy,Entry,Exit,PnL,Type
LiquidityHunter2026,5094.85,5099.85,-0.08170092,short
LiquidityHunter2026,5104.5,5099.5,-0.0817344,long
LiquidityHunter2026,5100.37,5105.37,-0.081740664,short
LiquidityHunter2026,5106.23,5101.23,-0.08174685599999999,long
LiquidityHunter2026,5098.6,5083.6,0.09834407999999997,short
LiquidityHunter2026,5089.79,5094.79,-0.081664488,short
LiquidityHunter2026,5091.17,5096.17,-0.081674424,short
LiquidityHunter2026,5100.0,5095.0,-0.081702,long
LiquidityHunter2026,5094.29,5099.29,-0.081696888,short
LiquidityHunter2026,5101.88,5116.88,0.09821246399999999,long
LiquidityHunter2026,5119.5,5134.5,0.09808559999999998,long
LiquidityHunter2026,5145.49,5140.49,-0.08202952799999999,long
LiquidityHunter2026,5142.97,5137.97,-0.08201138399999999,long
LiquidityHunter2026,5137.22,5132.22,-0.081969984,long
LiquidityHunter2026,5130.95,5135.95,-0.08196084,short
LiquidityHunter2026,5135.99,5130.99,-0.081961128,long
LiquidityHunter2026,5135.55,5130.55,-0.08195796,long
LiquidityHunter2026,5130.38,5115.38,0.09811526399999998,short
LiquidityHunter2026,5115.94,5120.94,-0.08185276799999999,short
LiquidityHunter2026,5120.51,5125.51,-0.081885672,short
LiquidityHunter2026,5128.29,5123.29,-0.081905688,long
LiquidityHunter2026,5121.05,5126.05,-0.08188956,short
